id,claim,evidence,cited_doc_ids,topic_id
41,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"{'18174210': [{'sentences': [1, 9], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}]}",[18174210],8
44,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,"{'56893404': [{'sentences': [3], 'label': 'SUPPORT'}]}",[56893404],8
46,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,"{'380526': [{'sentences': [2], 'label': 'SUPPORT'}]}",[380526],4
47,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,"{'26996935': [{'sentences': [6], 'label': 'SUPPORT'}]}","[3512154, 26996935]",6
52,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,"{'45638119': [{'sentences': [4], 'label': 'SUPPORT'}]}",[45638119],1
55,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"{'49556906': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[49556906],4
58,APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,"{'4709641': [{'sentences': [1], 'label': 'CONTRADICT'}]}",[4709641],4
60,ART has no effect on the infectiveness of HIV-positive people.,"{'13899137': [{'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}","[13899137, 13901073]",3
61,ART substantially reduces infectiveness of HIV-positive people.,"{'13899137': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}]}","[13899137, 13901073]",5
67,Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,"{'21295300': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[21295300],4
68,Activated Cdk5 regulates DNA damage-induced neuronal death.,"{'21295300': [{'sentences': [6], 'label': 'SUPPORT'}]}",[21295300],4
69,Activation of PPM1D enhances p53 function.,"{'5956380': [{'sentences': [5, 6], 'label': 'CONTRADICT'}], '4414547': [{'sentences': [5], 'label': 'CONTRADICT'}]}","[5956380, 4414547]",9
71,Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,"{'1127562': [{'sentences': [4, 5], 'label': 'SUPPORT'}]}",[1127562],6
76,Active Ly49Q induces neutrophil polarization.,"{'5531479': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[5531479],7
77,Active Ly49Q prevents neutrophil polarization.,"{'5531479': [{'sentences': [1], 'label': 'CONTRADICT'}, {'sentences': [6], 'label': 'CONTRADICT'}]}",[5531479],7
78,Active caspase-11 participate in regulating phagosome-lysosome fusion.,"{'5099266': [{'sentences': [7], 'label': 'SUPPORT'}]}",[5099266],7
79,Active caspase-11 protein promotes pyroptosis.,"{'5099266': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}]}",[5099266],4
85,Adult tissue-resident macrophages are seeded before birth.,"{'7521113': [{'sentences': [4], 'label': 'SUPPORT'}], '22406695': [{'sentences': [1], 'label': 'SUPPORT'}]}","[7521113, 22406695]",2
86,Adult tissue-resident macrophages are seeded before birth.,"{'7521113': [{'sentences': [4], 'label': 'SUPPORT'}], '22406695': [{'sentences': [1], 'label': 'SUPPORT'}]}","[7521113, 22406695]",2
88,Adult tissue-resident macrophages possess a self-renewing capacity.,"{'7521113': [{'sentences': [4], 'label': 'SUPPORT'}]}","[7521113, 22406695]",2
93,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,"{'2692522': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[2692522],7
98,Alirocumab treatment reduces apo(a) fractional clearance rate.,"{'6540064': [{'sentences': [9, 10], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}, {'sentences': [14], 'label': 'CONTRADICT'}, {'sentences': [16], 'label': 'CONTRADICT'}]}",[6540064],0
104,Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,"{'40164383': [{'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}, {'sentences': [15], 'label': 'CONTRADICT'}]}",[40164383],3
105,Alteration of origin firing causes changes in termination zones of Okazaki fragments.,"{'36606083': [{'sentences': [3], 'label': 'CONTRADICT'}]}",[36606083],9
106,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,"{'25515907': [{'sentences': [6], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}], '5151024': [{'sentences': [0], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}]}","[25515907, 5151024]",3
108,Amitriptyline is an effective treatment for chronic tension-type headaches.,"{'6191684': [{'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}], '22995579': [{'sentences': [0], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}], '23865182': [{'sentences': [0], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}]}","[6191684, 22995579, 23865182]",3
109,An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,"{'4319174': [{'sentences': [5], 'label': 'SUPPORT'}]}",[4319174],8
111,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,"{'13513790': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[13513790],2
112,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,"{'6157837': [{'sentences': [2], 'label': 'CONTRADICT'}, {'sentences': [7], 'label': 'CONTRADICT'}]}",[6157837],3
114,Anthrax spores are very difficult to dispose once they are dispersed.,"{'33872649': [{'sentences': [6], 'label': 'SUPPORT'}]}",[33872649],5
116,Anthrax spores remain deadly until affected areas are decontaminated.,"{'33872649': [{'sentences': [6], 'label': 'SUPPORT'}]}",[33872649],5
119,Antidepressants increase the severity of migraines.,"{'14606752': [{'sentences': [6], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [10], 'label': 'CONTRADICT'}]}",[14606752],3
120,Antidepressants reduce the severity of migraines.,"{'14606752': [{'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}]}",[14606752],3
121,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"{'31460499': [{'sentences': [0], 'label': 'SUPPORT'}]}",[31460499],5
122,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"{'31460499': [{'sentences': [0], 'label': 'CONTRADICT'}]}",[31460499],5
123,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"{'4883040': [{'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [10], 'label': 'CONTRADICT'}]}",[4883040],5
138,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,"{'26016929': [{'sentences': [7, 9], 'label': 'CONTRADICT'}]}",[26016929],5
144,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"{'10582939': [{'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[10582939],7
149,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,"{'6227220': [{'sentences': [2], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [6], 'label': 'CONTRADICT'}]}",[6227220],8
152,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,"{'15488881': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}]}",[15488881],9
155,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"{'37549932': [{'sentences': [3], 'label': 'SUPPORT'}]}",[37549932],9
156,BCL-2 promotes the apoptotic effects of c-Myc.,"{'37549932': [{'sentences': [3], 'label': 'CONTRADICT'}]}",[37549932],9
157,BLM gene encodes RecQ-class DNA helicase.,"{'13439128': [{'sentences': [3], 'label': 'SUPPORT'}]}",[13439128],6
159,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"{'9394119': [{'sentences': [16], 'label': 'SUPPORT'}, {'sentences': [17], 'label': 'SUPPORT'}]}",[9394119],1
160,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"{'52874170': [{'sentences': [14], 'label': 'SUPPORT'}]}",[52874170],5
164,Bariatric surgery increases rates of colorectal cancer.,"{'5824985': [{'sentences': [11], 'label': 'SUPPORT'}]}",[5824985],1
165,Bariatric surgery increases rates of postmenopausal breast cancer.,"{'5824985': [{'sentences': [11], 'label': 'SUPPORT'}]}",[5824985],1
166,Bariatric surgery leads to negative outcomes in mental health.,"{'18872233': [{'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}]}",[18872233],3
167,Bariatric surgery leads to positive outcomes in mental health.,"{'18872233': [{'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[18872233],3
168,Bariatric surgery reduces colorectal cancer.,"{'5824985': [{'sentences': [11], 'label': 'CONTRADICT'}]}",[5824985],1
169,Bariatric surgery reduces postmenopausal breast cancer.,"{'5824985': [{'sentences': [11], 'label': 'CONTRADICT'}]}",[5824985],1
172,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,"{'12670680': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}]}",[12670680],7
177,Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,"{'9669099': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[9669099],9
178,Birth-weight is negatively associated with breast cancer.,"{'16322674': [{'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [6], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}], '27123743': [{'sentences': [4], 'label': 'CONTRADICT'}], '23557241': [{'sentences': [6], 'label': 'CONTRADICT'}], '17450673': [{'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}]}","[16322674, 27123743, 23557241, 17450673]",1
181,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,"{'16966326': [{'sentences': [5], 'label': 'SUPPORT'}]}",[16966326],4
184,Bone marrow cells don't contribute to adult macrophage compartments.,"{'12827098': [{'sentences': [3], 'label': 'SUPPORT'}]}",[12827098],2
189,Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,"{'4421578': [{'sentences': [3], 'label': 'SUPPORT'}]}",[4421578],7
196,C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,"{'19313533': [{'sentences': [3], 'label': 'SUPPORT'}]}",[19313533],4
197,CCL19 is a ligand for CCR7.,"{'2177022': [{'sentences': [4], 'label': 'SUPPORT'}]}",[2177022],4
200,"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.","{'18231807': [{'sentences': [4], 'label': 'SUPPORT'}]}",[18231807],7
201,CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,"{'2462673': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[2462673],7
203,CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,"{'9558539': [{'sentences': [1], 'label': 'CONTRADICT'}, {'sentences': [3], 'label': 'CONTRADICT'}, {'sentences': [4], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [7], 'label': 'CONTRADICT'}]}",[9558539],1
210,COPI coatmer is involved in lipid homeostasis.,"{'13794374': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[13794374],7
220,Ca2+ cycling controls whole-body energy homeostasis in beige fat.,"{'19205437': [{'sentences': [3, 4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[19205437],8
221,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,"{'19205437': [{'sentences': [1], 'label': 'CONTRADICT'}, {'sentences': [3], 'label': 'CONTRADICT'}]}",[19205437],9
222,Ca2+ cycling is a UCP1-independent thermogenic mechanism.,"{'19205437': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[19205437],9
223,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,"{'2014909': [{'sentences': [2], 'label': 'SUPPORT'}]}",[2014909],1
227,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,"{'26973393': [{'sentences': [0], 'label': 'SUPPORT'}]}",[26973393],1
228,Cardiac tissue-resident macrophages directly contribute to electrical activity.,"{'4928057': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[4928057],2
235,Cell autonomous sex determination in somatic cells occurs in Galliformes.,"{'4388470': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[4388470],2
241,Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,"{'2212067': [{'sentences': [3], 'label': 'SUPPORT'}]}","[2212067, 10608822]",9
242,Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,"{'2212067': [{'sentences': [3], 'label': 'CONTRADICT'}]}","[2212067, 10608822]",9
243,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","{'8148122': [{'sentences': [7], 'label': 'SUPPORT'}]}",[8148122],2
245,Charcoal is an effective treatment for acute paraquat poisoning.,"{'3430789': [{'sentences': [8], 'label': 'CONTRADICT'}]}","[8447873, 3430789]",5
246,Charcoal shows no benefit for acute paraquat poisoning.,"{'3430789': [{'sentences': [8], 'label': 'SUPPORT'}]}","[8447873, 3430789]",3
250,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,"{'1568684': [{'sentences': [3], 'label': 'CONTRADICT'}]}",[1568684],8
251,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,"{'1568684': [{'sentences': [3], 'label': 'SUPPORT'}]}",[1568684],8
256,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,"{'5850219': [{'sentences': [10], 'label': 'SUPPORT'}]}",[5850219],5
258,"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.","{'22080671': [{'sentences': [4, 5], 'label': 'SUPPORT'}]}",[22080671],7
263,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,"{'11328820': [{'sentences': [7, 9], 'label': 'CONTRADICT'}], '30041340': [{'sentences': [0, 1], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}","[11328820, 30041340, 14853989]",7
264,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,"{'11328820': [{'sentences': [7, 8, 9, 10], 'label': 'SUPPORT'}]}",[11328820],7
265,Clathrin stabilizes the spindle fiber apparatus during mitosis.,"{'2033917': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[2033917],9
266,Cnn1 recruitment varies with cell cycle timing.,"{'22405338': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[22405338],9
267,Cognitive behavioral therapy is an ineffective treatment for insomnia,"{'5912283': [{'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}]}","[5912283, 31554917]",3
272,Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,"{'11614737': [{'sentences': [8], 'label': 'SUPPORT'}]}",[11614737],3
277,"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.","{'14376683': [{'sentences': [4], 'label': 'SUPPORT'}]}",[14376683],6
278,Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,"{'14376683': [{'sentences': [4], 'label': 'CONTRADICT'}]}",[14376683],6
280,Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,"{'25001628': [{'sentences': [6, 7], 'label': 'SUPPORT'}]}",[25001628],6
283,Consumption of whole fruits increases the risk of type 2 diabetes.,"{'1974176': [{'sentences': [11], 'label': 'CONTRADICT'}]}",[1974176],8
286,Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,"{'4709641': [{'sentences': [3], 'label': 'SUPPORT'}]}",[4709641],9
287,Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,"{'4709641': [{'sentences': [3], 'label': 'CONTRADICT'}]}",[4709641],9
290,Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,"{'15048300': [{'sentences': [10, 11], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}]}",[15048300],3
292,Cost effectiveness evaluations based on cRCT data lack external validity.,"{'15048300': [{'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [10, 11], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[15048300],3
296,Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,"{'4398832': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[4398832],9
299,Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,"{'39381118': [{'sentences': [0], 'label': 'CONTRADICT'}]}",[39381118],9
305,DRD1 proteins enable Pol V transcription in vivo.,"{'14797520': [{'sentences': [3], 'label': 'SUPPORT'}]}",[14797520],6
306,DUSP4 decreases apoptosis.,"{'7821634': [{'sentences': [6], 'label': 'CONTRADICT'}]}",[7821634],4
308,DUSP4 downregulation deactivates the Ras-ERK pathway,"{'7821634': [{'sentences': [4, 5], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}]}",[7821634],4
309,DUSP4 increases apoptosis.,"{'7821634': [{'sentences': [6], 'label': 'SUPPORT'}]}",[7821634],4
317,Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,"{'4506414': [{'sentences': [9], 'label': 'CONTRADICT'}]}",[4506414],8
330,Deltex has no known interactions with eIF3f.,"{'9505448': [{'sentences': [6], 'label': 'CONTRADICT'}]}",[9505448],3
331,Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,"{'9505448': [{'sentences': [6], 'label': 'CONTRADICT'}]}",[9505448],4
332,Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,"{'29023309': [{'sentences': [1], 'label': 'CONTRADICT'}, {'sentences': [3], 'label': 'CONTRADICT'}]}",[29023309],7
333,Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,"{'29023309': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[29023309],7
334,Depletion of nitric oxide is responsible for vasospasm.,"{'25079962': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[25079962],4
335,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,"{'1780819': [{'sentences': [10], 'label': 'SUPPORT'}]}",[1780819],1
339,Dexamethasone increases risk of postoperative bleeding.,"{'23349986': [{'sentences': [10, 11], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}, {'sentences': [15], 'label': 'SUPPORT'}]}",[23349986],5
340,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,"{'7098463': [{'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [14], 'label': 'SUPPORT'}]}",[7098463],3
341,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,"{'7098463': [{'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [14], 'label': 'CONTRADICT'}]}",[7098463],3
342,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,"{'5884524': [{'sentences': [5], 'label': 'CONTRADICT'}]}","[7873737, 5884524]",3
346,Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,"{'11902109': [{'sentences': [5], 'label': 'CONTRADICT'}]}",[11902109],2
347,Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,"{'11902109': [{'sentences': [5], 'label': 'SUPPORT'}]}",[11902109],2
349,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,"{'13497630': [{'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}",[13497630],3
355,Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,"{'12800122': [{'sentences': [8], 'label': 'SUPPORT'}], '38380061': [{'sentences': [3], 'label': 'SUPPORT'}]}","[12800122, 38380061]",9
356,Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.,"{'6144337': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[6144337],7
366,ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.,"{'13956305': [{'sentences': [5], 'label': 'SUPPORT'}]}",[13956305],6
367,Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.,"{'27099731': [{'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [13], 'label': 'SUPPORT'}]}",[27099731],5
368,Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,"{'27099731': [{'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [13], 'label': 'CONTRADICT'}]}",[27099731],5
369,"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.","{'6826100': [{'sentences': [4], 'label': 'SUPPORT'}]}",[6826100],2
370,Egr2 regulates the homeostasis of B and T cells.,"{'1550937': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[1550937],9
371,Egr3 regulates the homeostasis of B and T cells.,"{'1550937': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[1550937],9
372,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,"{'24922825': [{'sentences': [7, 8], 'label': 'SUPPORT'}]}",[24922825],7
375,Elevated cell-free mitochondrial DNA levels are associated with mortality.,"{'1522647': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [9], 'label': 'SUPPORT'}]}",[1522647],1
378,Energy balance requires hypothalamic glutamate neurotransmission.,"{'45154987': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}], '10534299': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}], '11886686': [{'sentences': [7], 'label': 'SUPPORT'}], '17150648': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}]}","[45154987, 10534299, 11886686, 25007443, 17150648]",8
379,Enhanced early production of inflammatory chemokines damages viral control in the lung.,"{'19005293': [{'sentences': [2], 'label': 'CONTRADICT'}]}",[19005293],7
